"","genes","logFC","AveExpr","t","P.Value","adj.P.Val"
"g17416","g17416",-1.40408968109732,5.1460369277204,-3.25768225656357,0.00155061817810529,0.00772745268853552
"g16099","g16099",-1.751679638259,2.1312345325343,-3.25740399686127,0.0015516962663,0.00773036731777491
"g7464","g7464",-2.38225533102813,6.93875342920317,-3.25657550766455,0.00155491942244393,0.00774381723544619
"g535","g535",2.92231954097267,0.35086889381296,3.25651248679799,0.00155538420577966,0.00774381723544619
"g5741","g5741",-2.02893181766057,3.09917656673501,-3.25481991504865,0.00156174279906193,0.00777300568107259
"g18123","g18123",-2.06589053361812,2.31051162310085,-3.25294083298716,0.00156908770411175,0.00780708304334713
"g18382","g18382",1.75335283374679,0.586806062370817,3.25280033350221,0.00156963782613623,0.00780734168487249
"g173","g173",4.99106008625387,-0.959507660536959,3.25787787545647,0.00157185617105336,0.00781589523125614
"g12330","g12330",-3.21083889737835,-0.582155820268746,-3.25115120845658,0.00157683904066437,0.00783818531060346
"g10234","g10234",3.08478754856206,-0.555744535089152,3.25005839356292,0.00158088113466686,0.00785578631060041
"g13168","g13168",1.76858970021067,3.61904795450756,3.24731480170602,0.00159127729571569,0.00790494106362979
"g16193","g16193",-1.25172727107078,5.77680508506861,-3.2427093157171,0.00160966680637686,0.00799376041075554
"g6660","g6660",1.71754832824131,2.31130986920909,3.24132743721552,0.00161522439964869,0.00801881913705856
"g19873","g19873",2.26772535972981,-1.56945994818899,3.2393063143089,0.00162338986593721,0.00805680473997273
"g21428","g21428",1.80450962130869,0.92459174231742,3.23890881688511,0.00162499603960273,0.00806089552131375
"g12446","g12446",1.56030714894439,2.79179715609734,3.23875342039396,0.00162562580303996,0.00806089552131375
"g3394","g3394",-1.59434631749591,0.156535915427111,-3.23865326221757,0.00162603183562913,0.00806089552131375
"g15436","g15436",1.32887560077219,5.87590869145676,3.23859417912374,0.00162627139911913,0.00806089552131375
"g3981","g3981",-1.92189285780875,4.83420627544742,-3.23838856627549,0.00162710541641738,0.00806247966851394
"g15269","g15269",2.74740383433216,0.458669346123665,3.23790537483055,0.00162917491234807,0.00807018280696311
"g7637","g7637",-1.48191100905884,1.68865121669892,-3.23395189759595,0.00164520102685116,0.00814699390010687
"g13675","g13675",-1.35394964987864,4.70985662209305,-3.23107889085847,0.00165702224792908,0.0082029405217285
"g21127","g21127",1.50403417171499,5.11964327418129,3.22885777540372,0.00166621721261906,0.00824585487002797
"g9750","g9750",-1.97065886571914,3.12055302593949,-3.22763994661641,0.00167127972955508,0.00826631064566361
"g12360","g12360",1.61156271399842,1.80199979668376,3.22760970525804,0.00167140550220813,0.00826631064566361
"g16172","g16172",-3.20485124416495,7.88800883382633,-3.22736191411758,0.00167323642642023,0.00827275536633575
"g16502","g16502",1.62083220927767,0.96604264573702,3.22596486304698,0.00167826694983446,0.00829501037677561
"g14362","g14362",2.30336354003217,2.77448340876166,3.22565234188963,0.00167957922335671,0.00829887930884924
"g16905","g16905",1.46937698112975,2.31332285676368,3.224087091966,0.00168613320223136,0.00832863715051121
"g14373","g14373",2.02151463046339,0.504502782618403,3.22035222053646,0.00170188499430976,0.00840379442842369
"g8708","g8708",-1.43957309377502,4.62838911966515,-3.2201983815125,0.0017025365582095,0.00840436392970632
"g12218","g12218",-1.75848330371384,1.13951139504892,-3.2180603825195,0.00171162038038614,0.00844402875184326
"g15129","g15129",-1.60038596072095,1.60275988880655,-3.2180388344835,0.00171171216630136,0.00844402875184326
"g20330","g20330",1.35885960425684,8.70447420849627,3.21792713481594,0.00171218805419242,0.00844402875184326
"g2484","g2484",-1.22314506313248,6.14917645019176,-3.2177623637448,0.00171289028124377,0.00844483465804769
"g5034","g5034",3.52641600287017,4.733478752713,3.21634964347635,0.00172113285639208,0.00848280354032487
"g22617","g22617",1.30283201555719,8.68088992217357,3.21539450866181,0.00172301234435639,0.00848791774104631
"g16090","g16090",-1.90263703763839,1.27442639775096,-3.21533823777141,0.00172325363695587,0.00848791774104631
"g13801","g13801",-1.37166894427933,5.20217972052116,-3.21474338164624,0.00172580584316613,0.00849781808983437
"g15131","g15131",1.90136030298271,-0.395411401584851,3.21457409129546,0.0017265329022138,0.00849872807047641
"g5324","g5324",4.6053302837073,-0.616712181921982,3.21819222235231,0.00172736477151444,0.00849915655780723
"g9967","g9967",2.36413382027717,-2.36199741296152,3.21428388458844,0.00172778974547404,0.00849915655780723
"g18698","g18698",1.85972013721939,3.13549801555054,3.21417526467227,0.00172824679064197,0.00849915655780723
"g11097","g11097",2.71630890423097,1.58770755656037,3.21382635585603,0.00172985165816163,0.00850438050136988
"g17869","g17869",-5.46297502492147,2.20660606369703,-3.22226156580498,0.00173366607869837,0.00852046047395407
"g20272","g20272",1.83504679945162,2.51332643652708,3.21095704147397,0.00174213675111031,0.00855940730412287
"g2731","g2731",-2.50414955700614,-1.12339631600048,-3.21019713665253,0.00174546118905027,0.0085730533425211
"g187","g187",4.58543216718801,-0.194680794066252,3.21253409077185,0.00175157551822988,0.008599081425059
"g9759","g9759",3.34346405381794,3.29771514943915,3.20903286816027,0.00175185778027266,0.008599081425059
"g20729","g20729",1.66459646180867,1.01936548814775,3.20749856353078,0.00175718334768355,0.00862252179343904
"g19664","g19664",1.75575120590817,0.541652950039031,3.2065335094058,0.00176140421493072,0.00864052840707641
"g18574","g18574",-5.90875861950048,0.652792969465561,-3.21832143475979,0.00176774898047847,0.00866893922748404
"g14109","g14109",1.49060301521957,3.07112325638241,3.20306423161606,0.00177665849756859,0.00870990573424853
"g18046","g18046",-1.56672748291488,0.965473654760841,-3.20195059040908,0.0017815820148075,0.00873031050609234
"g14877","g14877",1.88393788852977,0.699060851823689,3.20187092867266,0.00178193474822876,0.00873031050609234
"g14218","g14218",-1.74183031330328,-0.973636645536298,-3.20047291188919,0.00178813523690007,0.00875795111497963
"g119","g119",4.51963045524269,-1.04472480409097,3.19996864442257,0.00180605227257576,0.00884294197690717
"g16582","g16582",4.23182923751242,1.69603992744596,3.19783911148528,0.00181017948566143,0.00886038197338274
"g8483","g8483",1.59302706622091,3.70161878299935,3.19392463283844,0.00181745554844014,0.00889321911042843
"g8499","g8499",1.28180466857451,5.61415528938125,3.19299309032405,0.00182166395251624,0.00891102969032055
"g7529","g7529",1.4896865592314,2.93292315130169,3.18990511438752,0.00183568150944322,0.00897679759672499
"g14459","g14459",3.857350600346,2.96730441388101,3.18983889925248,0.00184137247819302,0.00900181873072965
"g8172","g8172",2.38628190498086,1.09665627583171,3.18839754834827,0.00184257634785557,0.00900489526034934
"g17188","g17188",5.01797795895571,3.25166577882125,3.19432149751325,0.00184480690411297,0.00901298585042476
"g10058","g10058",-2.11940299442275,2.05598747829468,-3.18751482911633,0.00184660418944725,0.00901895526993042
"g7916","g7916",1.39119056313434,10.8174981681706,3.18449033295665,0.00186051199982676,0.00908405126893609
