	A	Coef	t	P.value	F	F.p.value	Results	genes
g12934	5.7792065298445	0.347168840051684	0	0.922787796797938	0.589722230443824	0.449390750724503	0	g12934
g12935	4.40637219240382	-1.41969347053368	-3.82856216757642	0.000361208872232538	167.724363159913	6.72137545515983e-13	-1	g12935
g12936	10.0529766982461	-0.531858744079297	0	0.999999918358075	64.2793191636587	1.60236517087381e-08	0	g12936
g12939	-0.653486496718044	-1.50734885513651	-1.62431826769514	0.0581378403470242	23.2893001790963	5.2202304254585e-05	0	g12939
g1294	7.2257133754393	-0.17310391826152	0	0.999999999999999	11.7317052911079	0.00203493838965693	0	g1294
g12944	0.976290433577557	-8.38824301054479	-10.0859576387049	8.18193072414611e-11	131.12754901979	1.05926515051797e-11	-1	g12944
g12945	1.8267044823764	-0.383629123966807	0	0.931712838885023	0.903994507961097	0.350399350353269	0	g12945
g12946	0.631448767709334	0.00877936168916871	0	0.999409523544202	0.000589082490625145	0.980820285828371	0	g12946
g12947	2.37086721166179	-0.268064410758658	0	0.982217249865626	0.653131114479323	0.426270656828583	0	g12947
g12948	2.27955866324824	-0.356088032555322	0	0.873656524973997	0.370145606981752	0.548161977460084	0	g12948
g12949	2.10715539168687	-0.0603153359041682	0	0.978233383972393	0.00915847279269709	0.924486922669932	0	g12949
g1295	6.27546501976302	0.0975520523366535	0	1	4.46219291638074	0.0443345035369111	0	g1295
g12950	-0.371108866528234	0.377899645869721	0	0.939803741371737	0.942936319873237	0.340401075850975	0	g12950
g12951	-0.84332234809874	0.382412616040617	0	0.983502105437714	1.94195952448422	0.175162084107278	0	g12951
g12952	0.250813812105586	0.692714901449969	0	0.801859663642371	3.77870143770812	0.0627182543755613	0	g12952
g12953	-1.66178118038191	2.16843027781508	2.66543962173788	0.00649625012290806	24.469383018391	3.79051170899289e-05	1	g12953
g12955	0.290573776654428	-0.131852240203139	0	0.989746046924587	0.13014670272804	0.721171588517226	0	g12955
g12956	-1.61309231719183	0.944867252929263	0	0.560489374220321	6.93760153293273	0.0139785858612628	0	g12956
g12957	-1.00004369377309	0.406373763026723	0	0.958676006470157	1.52366835855789	0.228019132697763	0	g12957
g12959	-0.849353952514632	-0.154569173184407	0	0.997243692289517	0.30059534568225	0.588149613985724	0	g12959
g1296	1.6729548034508	1.14423464092331	0.654039089032598	0.25939247469247	26.9214493987178	1.9980550142771e-05	0	g1296
g12961	1.96884584412709	0.132553247743947	0	0.999920934464863	0.45133308650887	0.507581918564408	0	g12961
