"","genes","logFC","AveExpr","t","P.Value","adj.P.Val"
"g3498","g3498",-2.13091530198739,7.77094421689121,-5.84489528242257,2.28918592292235e-06,3.90536368233586e-05
"g22366","g22366",-3.32326368421401,3.36357213326368,-5.84427409000358,2.29278966557158e-06,3.90795576725469e-05
"g5417","g5417",-1.82506963755965,5.72101931272705,-5.84387856146283,2.29502887053598e-06,3.90821946354941e-05
"g16028","g16028",3.94573368588779,2.10511367790577,5.83998213766193,2.31784813413839e-06,3.94349679373509e-05
"g19809","g19809",-3.35295533542797,5.92358585808166,-5.83658759614033,2.33741597317645e-06,3.97220320028682e-05
"g11752","g11752",4.61635462990524,0.31091453820949,5.83654241561592,2.33895798875495e-06,3.97220320028682e-05
"g9239","g9239",2.0331377912926,3.20088522001218,5.83564571217416,2.34290266272203e-06,3.97530154057696e-05
"g19880","g19880",5.22407271177654,0.830761421950053,5.83490214229217,2.35085446447494e-06,3.98518719298741e-05
"g4331","g4331",2.7346064460484,5.91050078001022,5.83141691911921,2.36788729957611e-06,4.0104353188575e-05
"g21498","g21498",2.37075485355486,4.13905801212201,5.82772667144056,2.38990762174343e-06,4.04352404015996e-05
"g1560","g1560",-2.44413133785938,4.31227885141516,-5.82733444511627,2.39226055482315e-06,4.04352404015996e-05
"g10438","g10438",-3.91377083395584,1.49282061826259,-5.82710803584832,2.39389390611636e-06,4.04352404015996e-05
"g20454","g20454",-3.20362677247198,6.27010687126213,-5.82493803613294,2.40670966140374e-06,4.06151210095938e-05
"g18246","g18246",-3.7030931882414,1.44702743811964,-5.823081229241,2.41807490345049e-06,4.0770221551073e-05
"g16501","g16501",3.75502882843928,-3.73023299161031,5.8213230958557,2.42879247810318e-06,4.09141331284426e-05
"g22798","g22798",1.68377280400886,5.77153312099543,5.81999333270951,2.43673340584164e-06,4.09958658747402e-05
"g9615","g9615",-3.69556432912208,6.24579807694089,-5.81964888677713,2.43898830566695e-06,4.09958658747402e-05
"g11479","g11479",-2.6336020072727,2.77769956529159,-5.81942631031489,2.4402040810822e-06,4.09958658747402e-05
"g5755","g5755",-1.88577905900597,6.89791890868029,-5.81817777412497,2.44786096509713e-06,4.1028863243168e-05
"g4227","g4227",-5.35025427157284,-1.6908493177288,-5.81879074426934,2.44858235582809e-06,4.1028863243168e-05
"g7206","g7206",-4.27710037660412,2.87444885178435,-5.81814941321629,2.448733157454e-06,4.1028863243168e-05
"g22521","g22521",1.48425688851453,6.78547196811187,5.81582810417553,2.46233864512612e-06,4.12199886227408e-05
"g11471","g11471",1.82033832090385,7.57231525669395,5.81498154012565,2.46757607342292e-06,4.1270815165572e-05
"g20409","g20409",-4.04749853922969,5.80405600112694,-5.81124432330371,2.49124508543019e-06,4.16168930638957e-05
"g8178","g8178",6.24765632243136,1.33049796692678,5.81295877418138,2.49270739296789e-06,4.16168930638957e-05
"g6127","g6127",3.78014312149035,1.69341247292388,5.81021995526784,2.49744363936326e-06,4.16588708135424e-05
"g10128","g10128",-3.85755293363219,7.53960433754446,-5.80648154111969,2.52104463200147e-06,4.20138587630218e-05
"g12447","g12447",-2.69038110048656,3.51546309816792,-5.80610060019125,2.52320683594658e-06,4.20138587630218e-05
"g10470","g10470",-2.86176591917626,8.25533273971717,-5.80385108141814,2.53750125546625e-06,4.21684845942949e-05
"g5412","g5412",-4.4940138029221,6.49798500483454,-5.80385687608865,2.53861810907063e-06,4.21684845942949e-05
"g7863","g7863",-2.15941870221174,6.1965755425733,-5.8035775344245,2.53924044519489e-06,4.21684845942949e-05
"g17553","g17553",-1.81721818653632,7.83884316501616,-5.8018114143752,2.55052624532245e-06,4.2318421746505e-05
