"","genes","logFC","AveExpr","t","P.Value","adj.P.Val"
"g13252","g13252",-3.13655357459692,4.9270957728459,-6.20306211086234,9.38355461352706e-07,2.33287600928104e-05
"g2805","g2805",8.16566151517275,-1.63391767598048,6.20922753642866,9.39421508884306e-07,2.33287600928104e-05
"g10319","g10319",1.65244440024257,5.48945547475597,6.19995308388438,9.4559062964734e-07,2.34508977715052e-05
"g10774","g10774",-2.72604024729083,1.96875778911909,-6.19939734389767,9.46891146814041e-07,2.34521296058342e-05
"g4848","g4848",6.08003116470089,1.78491501129401,6.1970749449632,9.55629839225038e-07,2.36373401789317e-05
"g18784","g18784",5.71488394545196,-0.541823069706307,6.19260084798007,9.65156487164439e-07,2.38415269800344e-05
"g11474","g11474",1.96483009060177,3.01357459908673,6.18610019106843,9.7854558546279e-07,2.41404620813708e-05
"g19271","g19271",5.04701200024462,-3.31329795071468,6.17477428008726,1.00729444024431e-06,2.48170347702242e-05
"g15608","g15608",5.94162313008071,-1.63032474055337,6.17366004728977,1.01217873545578e-06,2.49046445027039e-05
"g19936","g19936",1.55033138496218,6.74240192145771,6.17076601112214,1.01638919074679e-06,2.49754664971319e-05
"g13900","g13900",6.00893229421565,1.15384044509405,6.16138468373921,1.04366951336802e-06,2.5612250924263e-05
"g21758","g21758",-5.37307816936318,-0.602456609486231,-6.15179078209414,1.06691289955337e-06,2.61202322581956e-05
"g19889","g19889",-3.53925076385198,0.524060967023596,-6.15109413537906,1.06715547014656e-06,2.61202322581956e-05
"g20735","g20735",5.17395088901702,-3.74182509784255,6.15076809459025,1.06921772612159e-06,2.61365881969409e-05
"g10556","g10556",4.40706116353285,-0.49954896255296,6.14914933071607,1.07259561432749e-06,2.61850197565444e-05
"g16578","g16578",-2.0479386692114,6.40144930904683,-6.14743254445693,1.0768517172381e-06,2.62547371215829e-05
"g4593","g4593",4.80716897452435,-2.65478592467052,6.13754876836619,1.10426243378661e-06,2.68880732091754e-05
"g11466","g11466",8.39895227874655,3.86823518863365,6.13952786086,1.11926516505979e-06,2.71934390496437e-05
"g3974","g3974",-4.34915675383346,-3.29313541141941,-6.13168344955605,1.12001073089701e-06,2.71934390496437e-05
"g15098","g15098",-3.13120564088171,3.83957782441199,-6.13044856189489,1.12315650733223e-06,2.71934390496437e-05
"g1170","g1170",3.59740872703249,-0.182174728944736,6.13014565687402,1.12403207098299e-06,2.71934390496437e-05
"g1124","g1124",9.59598268369406,-2.98612545871744,6.14306604791638,1.12405543034156e-06,2.71934390496437e-05
"g23417","g23417",6.86276221952799,-2.34025751359881,6.13137517746483,1.12871494917533e-06,2.72709749769179e-05
"g3991","g3991",2.57177157031594,2.48931172491883,6.1253708498763,1.13738240594643e-06,2.74450228173613e-05
"g7435","g7435",-7.17733476220328,-0.272628838817609,-6.12569882472611,1.14695280676931e-06,2.76403832572208e-05
"g18072","g18072",-4.36139589386763,-2.29308211959282,-6.1214849842694,1.14870841724981e-06,2.76471554749893e-05
"g4599","g4599",2.53565600600923,2.81230649332308,6.12021756343635,1.15201303352945e-06,2.76911440585176e-05
"g14657","g14657",6.09689090120826,-3.17334742443442,6.10893204462092,1.18909257651393e-06,2.85458344648652e-05
"g10765","g10765",1.73986101161034,6.18848555770942,6.10584963038341,1.19382344805656e-06,2.86227568128038e-05
"g10241","g10241",5.51800548169653,-3.36554208869083,6.10199493154889,1.20759787626764e-06,2.89160313948173e-05
"g1284","g1284",2.98557975486238,0.192300096360095,6.09549701079044,1.22490596221401e-06,2.92930636295287e-05
"g20590","g20590",-3.85892222023901,-1.57591485958375,-6.09005407184615,1.24166907518646e-06,2.96561190963962e-05
"g18518","g18518",5.69152376894391,3.57863902767293,6.0904191360955,1.24339695852757e-06,2.96596050578033e-05
"g3541","g3541",-3.66439529998837,1.10435879390269,-6.08632016804232,1.25319394975723e-06,2.98553155832253e-05
"g21867","g21867",2.29928548409532,6.68862783168721,6.07844999529083,1.27788275641246e-06,3.0404852538042e-05
