"","BmalevnoBmale","BmalevsfemaleB","BmalevsfemalenoB","BfemalevsnoBfemale","noBmalevsnoBfemale","gene"
"g10617",0,0,0,0,0,"g10617"
"g10619",0,0,0,0,0,"g10619"
"g10620",0,-1,-1,0,-1,"g10620"
"g10621",0,1,1,0,1,"g10621"
"g10622",0,1,1,0,1,"g10622"
"g10623",0,0,0,0,0,"g10623"
"g10624",0,0,0,0,0,"g10624"
"g10625",0,0,0,0,0,"g10625"
"g10626",0,-1,-1,0,-1,"g10626"
"g10627",0,1,1,0,1,"g10627"
"g10628",0,0,0,0,0,"g10628"
"g10629",0,0,0,0,0,"g10629"
"g10630",0,0,0,0,0,"g10630"
"g10632",0,0,0,0,0,"g10632"
"g10633",0,0,0,0,0,"g10633"
"g10634",0,0,0,0,0,"g10634"
"g10635",0,0,0,0,0,"g10635"
"g10636",0,0,0,0,0,"g10636"
"g10637",0,0,0,0,0,"g10637"
"g10638",0,0,0,0,0,"g10638"
"g10639",0,0,0,0,0,"g10639"
"g1064",0,1,1,0,1,"g1064"
"g10640",0,0,0,0,0,"g10640"
"g10641",0,0,0,0,0,"g10641"
"g10642",0,1,1,0,1,"g10642"
"g10643",0,0,1,0,0,"g10643"
"g10644",0,0,0,0,0,"g10644"
"g10645",0,0,0,0,0,"g10645"
"g10646",0,0,0,0,0,"g10646"
"g10647",0,0,0,0,0,"g10647"
"g10648",0,0,0,0,0,"g10648"
"g10649",0,0,0,0,0,"g10649"
"g10650",0,0,0,0,0,"g10650"
"g10651",0,0,0,0,0,"g10651"
"g10652",0,0,0,0,-1,"g10652"
"g10653",0,0,0,0,0,"g10653"
"g10654",0,0,0,0,0,"g10654"
"g10658",0,0,0,0,0,"g10658"
"g10668",0,0,0,0,0,"g10668"
"g10673",0,0,0,0,1,"g10673"
"g10674",0,0,0,0,0,"g10674"
"g1068",0,1,1,0,1,"g1068"
"g1069",0,1,0,0,0,"g1069"
"g10695",0,0,0,0,0,"g10695"
"g10698",0,0,0,0,0,"g10698"
"g10699",0,0,0,0,0,"g10699"
"g107",0,0,0,0,0,"g107"
"g1070",0,0,0,0,0,"g1070"
"g10701",0,0,0,0,0,"g10701"
"g10702",0,0,0,0,0,"g10702"
"g10703",0,0,0,0,0,"g10703"
"g10705",0,0,0,0,0,"g10705"
"g10706",0,0,0,0,0,"g10706"
"g10707",0,0,0,0,0,"g10707"
"g10708",0,0,0,0,0,"g10708"
"g10709",0,0,0,0,0,"g10709"
"g10710",0,0,0,0,0,"g10710"
"g10711",0,1,1,0,1,"g10711"
"g10712",0,0,0,0,0,"g10712"
"g10716",0,0,0,0,0,"g10716"
"g10717",0,0,0,0,0,"g10717"
"g10721",0,0,0,0,0,"g10721"
"g10722",0,0,0,0,0,"g10722"
"g10723",0,0,0,0,0,"g10723"
"g10724",0,0,1,0,1,"g10724"
"g10725",0,-1,-1,0,-1,"g10725"
"g10726",0,0,0,0,0,"g10726"
"g10727",0,-1,-1,0,-1,"g10727"
"g10728",0,0,0,0,0,"g10728"
"g10729",-1,0,-1,0,0,"g10729"
"g1073",0,1,1,0,1,"g1073"
"g10730",0,-1,0,0,-1,"g10730"
"g10731",0,0,0,0,0,"g10731"
"g10732",0,0,0,0,-1,"g10732"
"g10734",0,0,0,0,0,"g10734"
"g10735",0,0,0,0,0,"g10735"
"g10736",0,0,0,0,0,"g10736"
"g10737",0,0,0,0,0,"g10737"
"g10739",0,0,0,0,0,"g10739"
"g1074",0,0,0,0,0,"g1074"
"g10740",0,0,0,0,0,"g10740"
"g10741",0,0,0,0,0,"g10741"
"g10742",0,0,0,0,0,"g10742"
"g10743",0,0,1,0,0,"g10743"
"g10744",0,0,0,0,0,"g10744"
"g10745",0,0,0,0,0,"g10745"
"g10746",0,0,0,0,0,"g10746"
"g10747",0,0,0,0,0,"g10747"
"g10748",0,0,0,0,0,"g10748"
"g10749",0,0,0,0,0,"g10749"
"g1075",0,0,-1,0,-1,"g1075"
"g10750",0,0,0,0,0,"g10750"
"g10751",0,-1,-1,0,-1,"g10751"
"g10752",0,0,0,0,0,"g10752"
"g10753",0,0,0,0,0,"g10753"
"g10754",0,0,0,0,0,"g10754"
"g10755",0,0,0,0,0,"g10755"
"g10756",0,0,0,0,0,"g10756"
"g10757",0,0,0,0,0,"g10757"
"g10758",0,0,0,0,0,"g10758"
"g10759",0,0,0,0,0,"g10759"
"g1076",0,-1,-1,0,-1,"g1076"
"g10760",0,0,0,0,0,"g10760"
"g10761",0,0,0,0,0,"g10761"
"g10762",0,0,0,0,0,"g10762"
"g10765",0,1,1,0,1,"g10765"
"g10766",0,0,0,0,0,"g10766"
"g10767",0,0,0,0,0,"g10767"
"g10768",0,-1,-1,0,-1,"g10768"
"g10769",0,0,0,0,0,"g10769"
"g1077",0,0,-1,0,-1,"g1077"
"g10770",1,0,1,0,0,"g10770"
"g10771",0,0,0,0,0,"g10771"
"g10772",0,0,0,0,0,"g10772"
"g10773",1,-1,0,0,-1,"g10773"
"g10774",0,-1,-1,0,-1,"g10774"
"g10775",0,-1,-1,0,-1,"g10775"
"g10776",0,-1,-1,0,-1,"g10776"
"g10777",0,-1,-1,0,-1,"g10777"
"g10778",0,0,0,0,0,"g10778"
"g10779",0,1,0,0,0,"g10779"
"g1078",0,0,0,0,0,"g1078"
