	A	Coef	t	P.value	F	F.p.value	Results	genes
g8567	3.519739	-15.30958	-19.18304	3.097579e-17	421.2186	1.129096e-17	-1	g8567
g8568	1.400375	-0.9937984	0	0.5148991	36.52457	2.129926e-06	0	g8568
g857	6.785279	0.8062506	0	0.9531016	52.3581	1.050182e-07	0	g857
g8572	2.620608	-2.167966	-5.132416	1.158986e-05	90.75868	5.327869e-10	-1	g8572
g8577	2.16049	-9.083933	-11.16283	9.321422e-12	157.3444	1.387681e-12	-1	g8577
g858	6.112468	-0.5029303	0	1	83.30661	1.273887e-09	0	g858
g8585	5.081627	-0.8734198	0	0.7222244	16.97611	0.000337194	0	g8585
g8587	2.169312	0.236786	0	0.9997837	1.55904	0.2228448	0	g8587
g8589	3.536349	3.449515	6.057557	1.02711e-06	72.76976	4.870615e-09	1	g8589
g859	7.284525	-0.3284178	0	1	64.22862	1.614344e-08	0	g859
g8590	0.01869018	3.615633	6.905054	1.191033e-07	91.10647	5.122562e-10	1	g8590
g8591	-1.536499	-0.8536001	0	0.7463567	15.36504	0.0005697051	0	g8591
g8594	6.396128	-0.2992123	0	1	33.64267	4.006747e-06	0	g8594
g8595	2.488296	1.383317	1.432567	0.08190115	26.72747	2.099451e-05	0	g8595
g8598	-0.3379998	1.355059	0.3379394	0.3858886	1.663387	0.2084121	0	g8598
g860	5.411602	1.026132	0.3646684	0.3591425	205.0533	6.616561e-14	0	g860
g8600	0.6536634	2.293847	3.465608	0.0009182405	37.75043	1.642805e-06	1	g8600
g8601	0.8796863	2.672302	6.03288	1.094787e-06	92.93749	4.173252e-10	1	g8601
g8602	-2.00092	2.106337	2.217388	0.01773658	17.82232	0.0002582315	0	g8602
g8603	2.555946	1.409722	1.671451	0.05326624	33.07318	4.556692e-06	0	g8603
g8605	1.011564	2.395787	2.926203	0.003500791	25.22709	3.099309e-05	1	g8605
g8606	1.037532	2.049187	3.874256	0.0003207546	57.25769	4.691463e-08	1	g8606
g8607	0.1924531	-0.8500499	0	0.7222016	11.4556	0.002254665	0	g8607
g8609	5.190195	-0.3626617	0	1	62.49687	2.087386e-08	0	g8609
g8610	5.077007	1.284345	3.181576	0.00187401	206.5179	6.088988e-14	1	g8610
g8611	4.722764	0.1165855	0	1	3.393338	0.07680318	0	g8611
g8612	4.071102	1.445295	2.779613	0.004969045	81.39271	1.609084e-09	1	g8612
g8613	7.777747	-0.2931923	0	1	87.40857	7.82759e-10	0	g8613
g8614	4.617505	-0.3732069	0	1	63.54105	1.786673e-08	0	g8614
g8615	3.282977	-0.2198376	0	1	9.900233	0.004088408	0	g8615
g8616	6.212819	0.1630242	0	1	16.87798	0.0003479193	0	g8616
g8617	7.568541	-0.3276801	0	1	58.83943	3.654294e-08	0	g8617
g8618	7.12172	-0.171483	0	1	14.65992	0.0007219196	0	g8618
g8619	9.125648	-0.3215307	0	1	47.41484	2.499067e-07	0	g8619
g862	2.110588	2.390301	3.136891	0.002093137	29.08615	1.164619e-05	1	g862
g8621	1.605882	1.859443	5.044843	1.461245e-05	119.1317	3.017576e-11	1	g8621
g8623	4.034452	0.3098081	0	0.9642126	0.7025605	0.4095043	0	g8623
g8624	4.167777	-0.900204	0	0.6783406	17.85773	0.0002553963	0	g8624
g8625	7.691746	0.4838817	0	1	100.1546	1.916956e-10	0	g8625
g8626	4.563173	-0.0755704	0	1	3.463611	0.07398682	0	g8626
g8627	8.868488	0.5721921	0	1	114.9402	4.441175e-11	0	g8627
g8628	5.764508	-0.3119873	0	1	42.22375	6.641108e-07	0	g8628
g8629	6.00179	-0.6773649	0	0.9998578	77.19679	2.726118e-09	0	g8629
g8630	5.282994	0.1099161	0	1	1.393786	0.248371	0	g8630
g8631	4.37017	1.230531	1.235854	0.1137379	43.51705	5.169668e-07	0	g8631
g8632	5.216999	0.210026	0	1	24.71361	3.551112e-05	0	g8632
g8633	4.81515	0.117852	0	1	2.337138	0.1383023	0	g8633
g8634	4.250354	0.4698873	0	0.9999976	25.87332	2.616807e-05	0	g8634
g8635	3.730499	-1.56304	-2.725591	0.005643914	57.25103	4.696447e-08	-1	g8635
g8636	1.9426	-2.956644	-7.703458	1.689057e-08	135.502	7.376647e-12	-1	g8636
g8640	4.299945	0.3947021	0	1	74.73005	3.754884e-09	0	g8640
g8641	10.24829	1.479411	5.230789	8.936215e-06	260.5528	3.904764e-15	1	g8641
g8642	2.656667	-7.956089	-12.55235	6.850153e-13	206.1194	6.227877e-14	-1	g8642
g8643	1.372015	-5.354175	-7.854342	1.178908e-08	93.28095	4.017278e-10	-1	g8643
g8644	-1.120322	2.273416	3.365865	0.00118194	36.10859	2.328927e-06	1	g8644
g8646	-2.910412	-4.829006	-11.62778	3.779e-12	215.0488	3.791111e-14	-1	g8646
g8648	7.178877	-2.071741	-8.065282	7.159244e-09	243.0693	8.931235e-15	-1	g8648
g8649	-1.71719	-4.256098	-9.186745	5.586676e-10	144.1955	3.697378e-12	-1	g8649
g865	-1.373233	4.259772	4.261341	0.0001164225	31.00922	7.343431e-06	1	g865
g8650	6.932477	-0.2882512	0	1	10.09185	0.003792979	0	g8650
g8654	6.378501	0.1355353	0	1	3.071969	0.09134561	0	g8654
g8655	2.437003	-14.57867	-16.91182	6.606411e-16	329.687	2.283068e-16	-1	g8655
g8657	5.596095	-0.6423336	0	0.9981406	32.71232	4.946911e-06	0	g8657
g866	3.117238	0.3218921	0	0.9968237	1.982484	0.1708809	0	g866
g8663	3.122835	-0.8945381	0	0.8538177	83.07479	1.310155e-09	0	g8663
g8664	5.275477	0.1345783	0	1	6.418359	0.01760983	0	g8664
g8665	6.066548	-0.4665884	0	1	97.99963	2.406624e-10	0	g8665
